Team A,Team B,Count
Argentina,Spain,23024
Argentina,France,11534
England,Spain,8084
France,Spain,7416
Portugal,Spain,7348
Colombia,Spain,6900
Brazil,Spain,6571
Argentina,Germany,5827
Argentina,Netherlands,5514
Argentina,Brazil,5430
Germany,Spain,5040
Argentina,England,4837
Argentina,Colombia,4784
Argentina,Morocco,4763
Morocco,Spain,4763
Argentina,Portugal,4689
England,France,4628
Argentina,Japan,4571
Spain,Uruguay,4303
Croatia,Spain,4264
France,Portugal,4171
Brazil,France,4167
Colombia,France,4162
Ecuador,Spain,3877
France,Germany,3657
Netherlands,Spain,3566
Argentina,Ecuador,3471
Brazil,Morocco,3302
Argentina,Belgium,3281
Argentina,Croatia,3272
Japan,Spain,3161
Colombia,Portugal,3122
France,Morocco,3098
Argentina,Mexico,2872
France,Netherlands,2849
Belgium,Spain,2791
Mexico,Spain,2719
Spain,Switzerland,2607
Argentina,Turkey,2571
Ecuador,France,2566
Croatia,France,2558
Argentina,Switzerland,2556
England,Germany,2497
Brazil,England,2418
Croatia,England,2397
England,Portugal,2360
Ecuador,Germany,2350
France,Japan,2346
Argentina,South Korea,2336
Brazil,Germany,2331
Brazil,Portugal,2302
England,Netherlands,2282
Colombia,England,2270
Germany,Portugal,2233
Colombia,Germany,2173
Senegal,Spain,2158
Argentina,Iran,2156
Brazil,Colombia,2134
Brazil,Netherlands,2115
Argentina,Canada,2091
South Korea,Spain,2089
Iran,Spain,2071
Algeria,Argentina,2058
Argentina,Uruguay,2011
England,Morocco,2010
Netherlands,Portugal,2007
Colombia,Netherlands,1898
Morocco,Portugal,1880
Colombia,Morocco,1846
England,Japan,1835
Canada,Spain,1828
Argentina,United States,1827
France,Senegal,1816
Spain,Turkey,1811
Argentina,Austria,1794
France,Mexico,1788
Germany,Morocco,1742
Belgium,France,1719
Norway,Spain,1705
France,Uruguay,1695
Japan,Netherlands,1691
France,Switzerland,1678
Argentina,Senegal,1636
Japan,Portugal,1626
Brazil,Japan,1615
Colombia,Japan,1614
Germany,Netherlands,1609
Morocco,Netherlands,1515
Ecuador,England,1514
Brazil,Ecuador,1507
Argentina,Australia,1466
France,Norway,1445
Brazil,Croatia,1437
Colombia,Ecuador,1393
Algeria,Spain,1372
Croatia,Portugal,1366
Ecuador,Portugal,1361
Germany,Japan,1358
Colombia,Croatia,1350
France,Iran,1348
Croatia,Germany,1305
France,South Korea,1275
Japan,Morocco,1267
Argentina,Norway,1265
Belgium,Portugal,1240
Argentina,Paraguay,1238
Spain,United States,1237
Belgium,England,1235
England,Mexico,1223
Canada,France,1210
Austria,Spain,1202
Brazil,Mexico,1182
Croatia,Netherlands,1179
Mexico,Portugal,1173
France,Turkey,1165
Ecuador,Morocco,1156
Belgium,Brazil,1153
Belgium,Colombia,1120
Croatia,Morocco,1120
Ecuador,Netherlands,1107
England,Turkey,1084
Brazil,Switzerland,1067
England,Switzerland,1067
Colombia,Mexico,1053
Australia,Spain,1031
Portugal,Switzerland,1030
Germany,Mexico,1026
Belgium,Germany,1025
Spain,Uzbekistan,1009
England,South Korea,989
Ecuador,Japan,963
Portugal,Turkey,951
Croatia,Japan,946
Belgium,Morocco,942
Brazil,Uruguay,940
Colombia,Switzerland,926
Germany,Uruguay,920
Germany,Switzerland,913
Paraguay,Spain,912
Croatia,Ecuador,912
Colombia,South Korea,905
Mexico,Morocco,897
Brazil,Turkey,878
Belgium,Netherlands,874
Colombia,Turkey,871
Brazil,South Korea,860
France,United States,858
England,Uruguay,858
Argentina,Czech Republic,852
Egypt,Spain,839
Netherlands,Uruguay,838
Mexico,Netherlands,834
England,Iran,813
Brazil,Iran,809
Canada,England,808
Portugal,South Korea,807
Algeria,France,803
Colombia,Uruguay,794
Morocco,Switzerland,792
Austria,France,786
Portugal,Uruguay,786
Brazil,Canada,779
