match,P(first win),P(draw),P(second win),Top 1 score,Top 2 score,Top 3 score,Top 4 score,Top 5 score,Top 6 score,Top 7 score,Top 8 score,Top 9 score,Top 10 score,Top 11 score,Top 12 score,Top 13 score,Top 14 score,Top 15 score,Top 16 score,Top 17 score,Top 18 score,Top 19 score,Top 20 score
Mexico vs South Africa,62.327,21.0132,16.6598,2-0 (10.9%),1-0 (10.9%),1-1 (9.9%),2-1 (9.9%),3-0 (7.1%),3-1 (6.6%),0-0 (5.5%),0-1 (5.0%),1-2 (4.6%),2-2 (4.5%),4-0 (3.6%),4-1 (3.2%),3-2 (3.0%),0-2 (2.3%),4-2 (1.5%),5-0 (1.5%),2-3 (1.4%),1-3 (1.4%),5-1 (1.3%),3-3 (0.9%)
Mexico vs South Korea,39.6404,25.7346,34.625,1-1 (12.2%),1-0 (9.4%),0-1 (8.7%),2-1 (8.6%),1-2 (8.0%),0-0 (6.7%),2-0 (6.6%),0-2 (5.6%),2-2 (5.5%),3-1 (4.0%),1-3 (3.4%),3-0 (3.1%),3-2 (2.6%),0-3 (2.5%),2-3 (2.4%),4-1 (1.4%),3-3 (1.1%),1-4 (1.1%),4-0 (1.1%),4-2 (0.9%)
Mexico vs Czech Republic,50.7034,24.2944,25.002200000000002,1-1 (11.5%),1-0 (10.6%),2-1 (9.6%),2-0 (8.8%),0-1 (6.9%),1-2 (6.3%),0-0 (6.3%),3-1 (5.4%),2-2 (5.3%),3-0 (4.9%),0-2 (3.8%),3-2 (2.9%),1-3 (2.3%),4-1 (2.2%),4-0 (2.0%),2-3 (1.9%),0-3 (1.4%),4-2 (1.2%),3-3 (1.0%),5-1 (0.8%)
South Africa vs South Korea,18.309800000000003,22.013199999999998,59.677,0-1 (10.9%),0-2 (10.4%),1-1 (10.4%),1-2 (9.9%),0-3 (6.6%),1-3 (6.3%),0-0 (5.8%),1-0 (5.4%),2-1 (5.0%),2-2 (4.8%),0-4 (3.1%),1-4 (3.0%),2-3 (3.0%),2-0 (2.6%),3-1 (1.6%),3-2 (1.5%),2-4 (1.4%),0-5 (1.2%),1-5 (1.2%),3-3 (1.0%)
South Africa vs Czech Republic,26.7924,24.7038,48.503800000000005,1-1 (11.7%),0-1 (10.3%),1-2 (9.5%),0-2 (8.4%),1-0 (7.4%),2-1 (6.6%),0-0 (6.4%),2-2 (5.3%),1-3 (5.1%),0-3 (4.5%),2-0 (4.1%),2-3 (2.9%),3-1 (2.5%),1-4 (2.1%),3-2 (2.0%),0-4 (1.8%),3-0 (1.6%),2-4 (1.1%),3-3 (1.1%),4-1 (0.7%)
South Korea vs Czech Republic,48.0564,24.807000000000002,27.1366,1-1 (11.8%),1-0 (10.4%),2-1 (9.4%),2-0 (8.2%),0-1 (7.3%),1-2 (6.7%),0-0 (6.5%),2-2 (5.3%),3-1 (5.0%),3-0 (4.4%),0-2 (4.2%),3-2 (2.9%),1-3 (2.6%),2-3 (2.0%),4-1 (2.0%),4-0 (1.8%),0-3 (1.6%),4-2 (1.1%),3-3 (1.1%),1-4 (0.7%)
Canada vs Bosnia and Herzegovina,62.397400000000005,20.9966,16.606,2-0 (10.9%),1-0 (10.8%),2-1 (10.0%),1-1 (10.0%),3-0 (7.2%),3-1 (6.6%),0-0 (5.4%),0-1 (5.0%),2-2 (4.6%),1-2 (4.6%),4-0 (3.6%),4-1 (3.3%),3-2 (3.0%),0-2 (2.3%),4-2 (1.5%),1-3 (1.4%),5-0 (1.4%),2-3 (1.4%),5-1 (1.3%),3-3 (0.9%)
Canada vs Qatar,63.8018,20.4218,15.776399999999999,2-0 (11.0%),1-0 (10.9%),2-1 (9.9%),1-1 (9.7%),3-0 (7.5%),3-1 (6.7%),0-0 (5.3%),0-1 (4.8%),1-2 (4.4%),2-2 (4.4%),4-0 (3.8%),4-1 (3.4%),3-2 (3.0%),0-2 (2.2%),5-0 (1.6%),4-2 (1.6%),5-1 (1.4%),1-3 (1.3%),2-3 (1.3%),3-3 (0.9%)
Canada vs Switzerland,34.078,25.8058,40.1162,1-1 (12.2%),0-1 (9.5%),1-2 (8.7%),1-0 (8.6%),2-1 (7.8%),0-0 (6.7%),0-2 (6.7%),2-2 (5.6%),2-0 (5.5%),1-3 (4.1%),3-1 (3.4%),0-3 (3.1%),2-3 (2.6%),3-2 (2.4%),3-0 (2.4%),1-4 (1.5%),3-3 (1.1%),0-4 (1.1%),4-1 (1.1%),2-4 (0.9%)
Bosnia and Herzegovina vs Qatar,38.4484,25.811400000000003,35.7402,1-1 (12.3%),1-0 (9.3%),0-1 (8.8%),2-1 (8.5%),1-2 (8.1%),0-0 (6.7%),2-0 (6.4%),0-2 (5.8%),2-2 (5.6%),3-1 (3.9%),1-3 (3.6%),3-0 (2.9%),0-3 (2.6%),3-2 (2.5%),2-3 (2.4%),4-1 (1.3%),1-4 (1.2%),3-3 (1.1%),4-0 (1.0%),4-2 (0.9%)
Bosnia and Herzegovina vs Switzerland,14.5558,19.8296,65.6146,0-2 (11.3%),0-1 (10.8%),1-2 (9.9%),1-1 (9.4%),0-3 (7.9%),1-3 (6.8%),0-0 (5.2%),1-0 (4.5%),2-2 (4.3%),0-4 (4.2%),2-1 (4.1%),1-4 (3.6%),2-3 (3.0%),2-0 (1.9%),0-5 (1.7%),2-4 (1.6%),1-5 (1.5%),3-2 (1.3%),3-1 (1.2%),3-3 (0.8%)
Qatar vs Switzerland,13.836599999999999,19.429199999999998,66.7342,0-2 (11.4%),0-1 (10.7%),1-2 (9.8%),1-1 (9.2%),0-3 (8.2%),1-3 (7.0%),0-0 (5.1%),0-4 (4.3%),1-0 (4.3%),2-2 (4.2%),2-1 (4.0%),1-4 (3.7%),2-3 (3.0%),0-5 (1.9%),2-0 (1.8%),2-4 (1.6%),1-5 (1.6%),3-2 (1.2%),3-1 (1.1%),3-3 (0.8%)
Brazil vs Morocco,40.0408,25.6838,34.2754,1-1 (12.2%),1-0 (9.5%),0-1 (8.7%),2-1 (8.6%),1-2 (7.9%),0-0 (6.7%),2-0 (6.7%),0-2 (5.6%),2-2 (5.5%),3-1 (4.1%),1-3 (3.3%),3-0 (3.2%),3-2 (2.6%),0-3 (2.4%),2-3 (2.4%),4-1 (1.4%),3-3 (1.1%),4-0 (1.1%),1-4 (1.1%),4-2 (0.9%)
Brazil vs Haiti,77.6318,14.443800000000001,7.9243999999999994,2-0 (12.4%),3-0 (10.7%),1-0 (9.6%),2-1 (8.8%),3-1 (7.6%),4-0 (6.9%),1-1 (6.8%),4-1 (4.9%),0-0 (3.8%),5-0 (3.6%),2-2 (3.1%),3-2 (2.7%),0-1 (2.6%),5-1 (2.5%),1-2 (2.4%),4-2 (1.7%),6-0 (1.5%),6-1 (1.1%),0-2 (0.9%),5-2 (0.9%)
