Date,Home Team,Away Team,City ,Country,Score,Correct Result,Likelihood of Scoreline,Profit/Loss
11/06/2026,Mexico,South Africa,Mexico City,Mexico,2-0,Yes,1st (10.9%),0.4
11/06/2026,South Korea,Czech Republic,Zapopan,Mexico,2-1,Yes,3rd (9.1%),1.63
12/06/2026,Canada,Bosnia and Herzegovina,Toronto,Canada,1-1,No,4th (10.0%),-1
12/06/2026,United States,Paraguay,Inglewood,United States,4-1,Yes,16th (1.4%),1.05
13/06/2026,Qatar,Switzerland,Santa Clara,United States,TBC,TBC,TBC,TBC
13/06/2026,Brazil,Morocco,East Rutherford,United States,TBC,TBC,TBC,TBC
13/06/2026,Haiti,Scotland,Foxborough,United States,TBC,TBC,TBC,TBC
13/06/2026,Australia,Turkey,Vancouver,Canada,TBC,TBC,TBC,TBC
14/06/2026,Germany,Curaçao,Houston,United States,TBC,TBC,TBC,TBC
14/06/2026,Ivory Coast,Ecuador,Philadelphia,United States,TBC,TBC,TBC,TBC
14/06/2026,Netherlands,Japan,Arlington,United States,TBC,TBC,TBC,TBC
14/06/2026,Sweden,Tunisia,Guadalupe,Mexico,TBC,TBC,TBC,TBC
15/06/2026,Belgium,Egypt,Seattle,United States,TBC,TBC,TBC,TBC
15/06/2026,Iran,New Zealand,Inglewood,United States,TBC,TBC,TBC,TBC
15/06/2026,Spain,Cape Verde,Atlanta,United States,TBC,TBC,TBC,TBC
15/06/2026,Saudi Arabia,Uruguay,Miami Gardens,United States,TBC,TBC,TBC,TBC
16/06/2026,France,Senegal,East Rutherford,United States,TBC,TBC,TBC,TBC
16/06/2026,Iraq,Norway,Foxborough,United States,TBC,TBC,TBC,TBC
16/06/2026,Argentina,Algeria,Kansas City,United States,TBC,TBC,TBC,TBC
16/06/2026,Austria,Jordan,Santa Clara,United States,TBC,TBC,TBC,TBC
17/06/2026,Portugal,DR Congo,Houston,United States,TBC,TBC,TBC,TBC
17/06/2026,Uzbekistan,Colombia,Mexico City,Mexico,TBC,TBC,TBC,TBC
17/06/2026,England,Croatia,Arlington,United States,TBC,TBC,TBC,TBC
17/06/2026,Ghana,Panama,Toronto,Canada,TBC,TBC,TBC,TBC
18/06/2026,Czech Republic,South Africa,Atlanta,United States,TBC,TBC,TBC,TBC
