,Team,Qualified for R32 %,Qualified for R16 %,Qualified for QF %,Qualified for SF %,3rd or 4th place %,Qualified for Final %,World Cup winner %,Runner up %,Third place %
0,Spain,98.6674,68.3022,47.7272,35.3858,11.518,23.8678,15.3934,8.4744,7.862
1,Argentina,96.8282,66.8946,49.6828,35.2844,11.6224,23.662,15.2538,8.4082,7.9158
2,France,93.0242,64.3098,41.2216,26.0824,10.9882,15.0942,8.6232,6.471,6.8406
3,England,95.0126,57.4408,33.8258,19.312,8.9888,10.3232,5.3278,4.9954,5.0742
4,Brazil,93.7418,55.5798,33.5708,19.1476,9.337,9.8106,5.0048,4.8058,5.2282
5,Portugal,88.9964,55.5254,32.2266,17.655,8.0738,9.5812,4.8742,4.707,4.4124
6,Colombia,88.388,54.7428,31.5222,17.274,7.9618,9.3122,4.6774,4.6348,4.338
7,Germany,94.8636,58.3716,31.695,17.7702,8.8682,8.902,4.3914,4.5106,4.8258
8,Morocco,91.5292,51.2272,29.8428,16.0652,8.2326,7.8326,3.7856,4.047,4.3218
9,Netherlands,88.1312,47.1804,28.292,15.2534,7.7584,7.495,3.6518,3.8432,4.1442
10,Japan,85.9938,44.2306,25.4686,13.2654,6.9592,6.3062,2.8988,3.4074,3.5448
11,Ecuador,91.6902,51.9096,25.885,13.3198,7.2562,6.0636,2.717,3.3466,3.5844
12,Croatia,90.5208,48.3374,24.5488,12.661,6.659,6.002,2.6648,3.3372,3.283
13,Belgium,86.8734,49.7756,24.5484,10.4262,5.6932,4.733,1.9768,2.7562,2.619
14,Mexico,86.0296,50.6476,24.2706,10.7422,6.1664,4.5758,1.9078,2.668,2.8186
15,Uruguay,84.7536,36.162,18.7366,9.1966,5.0972,4.0994,1.6348,2.4646,2.3082
16,Switzerland,91.4802,51.007,23.5096,9.6532,5.5222,4.131,1.6168,2.5142,2.423
17,South Korea,82.6718,46.5704,21.2496,8.7918,5.2666,3.5252,1.3854,2.1398,2.2888
18,Turkey,74.693,41.5248,19.2022,8.0,4.56,3.44,1.3668,2.0732,2.0062
19,Iran,82.5738,44.2568,19.9256,7.874,4.5186,3.3554,1.2814,2.074,1.9436
20,Senegal,70.582,35.386,16.7626,7.5712,4.463,3.1082,1.2338,1.8744,1.935
21,Canada,88.8666,46.9244,20.3128,7.8204,4.701,3.1194,1.1458,1.9736,1.9556
22,Norway,66.201,31.7604,14.52,6.1712,3.7476,2.4236,0.9114,1.5122,1.5694
23,United States,69.2952,35.9104,15.3898,6.0286,3.6036,2.425,0.8958,1.5292,1.4798
24,Algeria,67.3302,27.3662,12.8558,5.5848,3.2442,2.3406,0.875,1.4656,1.3572
25,Austria,65.1888,26.0926,11.9166,5.0448,2.97,2.0748,0.7536,1.3212,1.2118
26,Australia,65.8812,32.9226,13.5164,5.1244,3.1176,2.0068,0.7022,1.3046,1.2282
27,Paraguay,63.6624,30.9904,12.363,4.588,2.8794,1.7086,0.5882,1.1204,1.1226
28,Uzbekistan,59.2426,25.0122,10.041,3.9428,2.5282,1.4146,0.4828,0.9318,0.9532
29,Egypt,68.162,30.2968,10.9064,3.5206,2.3328,1.1878,0.372,0.8158,0.8138
30,Czech Republic,63.8218,28.936,10.7126,3.2852,2.2662,1.019,0.2984,0.7206,0.764
31,Ivory Coast,68.2012,27.3126,9.7028,3.2482,2.2262,1.022,0.2934,0.7286,0.7432
32,Scotland,58.5374,20.987,7.7722,2.538,1.78,0.758,0.2132,0.5448,0.5806
33,Sweden,49.3074,15.6294,5.805,1.9608,1.364,0.5968,0.167,0.4298,0.4304
34,Panama,55.8118,17.4778,5.7546,1.7576,1.2442,0.5134,0.1326,0.3808,0.383
35,Tunisia,44.7344,13.451,4.7328,1.5392,1.1092,0.43,0.1152,0.3148,0.3358
36,Iraq,38.3798,13.7528,4.8022,1.472,1.056,0.416,0.1122,0.3038,0.3346
37,Jordan,33.7834,9.9376,3.2512,0.9542,0.6768,0.2774,0.068,0.2094,0.189
38,DR Congo,31.6916,9.6794,2.9162,0.8354,0.6154,0.22,0.0464,0.1736,0.1768
39,Saudi Arabia,37.3032,9.5872,2.7974,0.6956,0.5242,0.1714,0.035,0.1364,0.125
40,South Africa,38.2334,13.2192,3.6648,0.7742,0.6044,0.1698,0.0334,0.1364,0.1388
41,Cape Verde,33.1462,8.0492,2.219,0.523,0.4054,0.1176,0.0256,0.092,0.0974
42,Bosnia and Herzegovina,43.9356,12.5702,3.009,0.5214,0.4098,0.1116,0.0208,0.0908,0.08
43,New Zealand,33.4152,9.938,2.3046,0.4654,0.3666,0.0988,0.018,0.0808,0.0818
44,Qatar,40.8368,11.283,2.6772,0.449,0.367,0.082,0.0138,0.0682,0.0694
45,Haiti,21.5276,4.7032,1.0584,0.2034,0.1668,0.0366,0.0068,0.0298,0.0324
46,Ghana,22.438,4.2606,0.8764,0.1632,0.1336,0.0296,0.0054,0.0242,0.0222
47,Curaçao,14.0204,2.5674,0.4074,0.0572,0.049,0.0082,0.0004,0.0078,0.0064
